,Code,Name
265,sxn,Sangir
266,tah,Tahitian
267,tam,Tamil
268,taw,Tai
269,tbc,Takia
270,tbg,North Tairora
271,tbl,Tboli
272,tbo,Tawala
273,tdt,Tetun Dili
274,tel,Telugu
275,tet,Tetum
276,tgl,"Tagalog, Filipino, Pilipino"
277,tgp,Tangoa
278,tha,Thai
279,tif,Tifal
280,tim,Timbe
281,tlf,Telefol
282,tnk,Kwamera
283,tnn,North Tanna
284,tpi,Tok Pisin
285,tpz,Tinputz
286,tte,Bwanabwana
287,tuc,Mutu
288,tur,Turkish
289,tvk,Southeast Ambrym
290,tvl,Tuvalu
291,ubr,Ubir
292,ubu,Umbu-Ungu
293,urd,Urdu
294,usa,Usarufa
295,uvl,Lote
296,vie,Vietnamese
297,viv,Iduna
298,waj,Waffa
299,war,Waray (Philippines)
300,wer,Weri
301,wiu,Wiru
302,wls,Wallisian
303,wnc,Wantoat
304,wnu,Usan
305,wos,Hanga Hundi
306,wrs,Waris
307,wsk,Waskia
308,wuv,Wuvulu-Aua
309,xla,Kamula
310,xsi,Living
311,yap,Yapese
312,yby,Yaweyuha
313,yle,Yele
314,yml,Iamalele
315,yon,Yongkom
316,yrb,Yareba
317,yss,Yessan-Mayo
318,yuj,Karkar-Yuri
319,yut,Yopno
320,yuw,Yau (Morobe Province)
321,yva,Yawa
322,zho,"Chinese, Mandarin Chinese"
323,zia,Zia
324,zyp,Zyphe Chin
